"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript JSX", "TypeScript", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Wallet\WalletImage.test.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 1, 2, 21
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\Wallet\WalletOption.test.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 5, 55
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\firebaseServices.test.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 5, 9, 78
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\firebaseUserService.test.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 1, 18, 88
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useAddVehicle.test.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 1, 8, 62
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useCreateJourney.test.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 1, 12, 73
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useFetchVehicles.test.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 1, 6, 39
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useLocation.test.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useMapSettings.test.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 1, 5, 49
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\usePasswordChange.test.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 1, 7, 50
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useRegistration.test.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 1, 6, 46
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Integration\useRideAndDriver.test.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 1, 4, 26
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Authentication\ForgotPassword.test.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 0, 8, 19, 125
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Authentication\Login.test.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 4, 13, 81
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Authentication\MainInfo.test.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 14, 15, 106
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Authentication\Register.test.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 7, 16, 100
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\AddVehicleScreen.test.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 0, 18, 20, 139
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\AvailableRidesScreen.test.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 13, 17, 97
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\ConfirmPoolingScreen.test.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 22, 28, 134
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\EndRideScreen.test.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 0, 16, 21, 120
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\HistoryRideDetailScreen.test.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 19, 28, 141
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\MessageScreen.test.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 0, 17, 29, 161
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Journey\OfferRideScreen.test.js", "JavaScript", 182, 0, 0, 0, 0, 0, 0, 0, 31, 34, 247
