"filename", "language", "JSON", "JSON with Comments", "Markdown", "JavaScript", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\message\messageScreen.js", "JavaScript", 0, 0, 0, 260, 0, 0, 0, 13, 273
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\offerRide\offerRideScreen.js", "JavaScript", 0, 0, 0, 425, 0, 0, 0, 17, 442
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\onboarding\onboardingScreen.js", "JavaScript", 0, 0, 0, 292, 0, 0, 0, 16, 308
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\pickLocation\pickLocationScreen.js", "JavaScript", 0, 0, 0, 313, 0, 0, 3, 24, 340
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\pickLocation\pickLocationTestScreen.js", "JavaScript", 0, 0, 0, 130, 0, 0, 1, 14, 145
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\rideComplete\rideCompleteScreen.js", "JavaScript", 0, 0, 0, 76, 0, 0, 0, 7, 83
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\rideDetail\rideDetailScreen.js", "JavaScript", 0, 0, 0, 622, 0, 0, 0, 24, 646
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\rideMapView\rideMapViewScreen.js", "JavaScript", 0, 0, 0, 374, 0, 0, 0, 17, 391
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\rideRequest\rideRequestScreen.js", "JavaScript", 0, 0, 0, 532, 0, 0, 0, 18, 550
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\rides\ridesScreen.js", "JavaScript", 0, 0, 0, 296, 0, 0, 0, 14, 310
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateJourney\startRide\startRideScreen.js", "JavaScript", 0, 0, 0, 427, 0, 0, 5, 14, 446
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateProfile\customerSupport\customerSupportScreen.js", "JavaScript", 0, 0, 0, 221, 0, 0, 0, 10, 231
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateProfile\editProfile\editProfileScreen.js", "JavaScript", 0, 0, 0, 130, 0, 0, 0, 15, 145
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateProfile\faq\faqScreen.js", "JavaScript", 0, 0, 0, 85, 0, 0, 0, 6, 91
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateProfile\privacyPolicy\privacyPolicyScreen.js", "JavaScript", 0, 0, 0, 80, 0, 0, 0, 7, 87
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateProfile\profile\profileScreen.js", "JavaScript", 0, 0, 0, 190, 0, 0, 0, 10, 200
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateProfile\rideHistory\rideHistoryScreen.js", "JavaScript", 0, 0, 0, 254, 0, 0, 0, 10, 264
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateProfile\termsAndConditions\termsAndConditionsScreen.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 6, 53
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateProfile\userVehicles\userVehiclesScreen.js", "JavaScript", 0, 0, 0, 150, 0, 0, 0, 10, 160
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateWallet\addAndSendMoney\addAndSendMoneyScreen.js", "JavaScript", 0, 0, 0, 115, 0, 0, 0, 7, 122
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateWallet\bankInfo\bankInfoScreen.js", "JavaScript", 0, 0, 0, 167, 0, 0, 0, 10, 177
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateWallet\creditCard\creditCardScreen.js", "JavaScript", 0, 0, 0, 92, 0, 0, 0, 8, 100
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateWallet\paymentMethods\paymentMethodsScreen.js", "JavaScript", 0, 0, 0, 130, 0, 0, 0, 8, 138
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateWallet\successfullyAddAndSend\successfullyAddAndSendScreen.js", "JavaScript", 0, 0, 0, 95, 0, 0, 0, 8, 103
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateWallet\transactions\transactionsScreen.js", "JavaScript", 0, 0, 0, 152, 0, 0, 0, 5, 157
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateWallet\wallet\walletScreen.js", "JavaScript", 0, 0, 0, 201, 0, 0, 0, 10, 211
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\services\firebase.tsx", "TypeScript JSX", 0, 0, 0, 0, 33, 0, 0, 6, 39
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\services\firebaseUserService.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 8, 44
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\utils\validation.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\tsconfig.json", "JSON with Comments", 0, 4, 0, 0, 0, 0, 0, 1, 5
"Total", "-", 15658, 4, 51, 10254, 2740, 123, 34, 884, 29748
