"filename", "language", "JSON with Comments", "JSON", "TypeScript JSX", "Markdown", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateProfile\customerSupport\customerSupportScreen.js", "JavaScript", 0, 0, 0, 0, 221, 0, 0, 10, 231
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateProfile\editProfile\editProfileScreen.js", "JavaScript", 0, 0, 0, 0, 173, 0, 2, 27, 202
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateProfile\faq\faqScreen.js", "JavaScript", 0, 0, 0, 0, 85, 0, 0, 6, 91
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateProfile\privacyPolicy\privacyPolicyScreen.js", "JavaScript", 0, 0, 0, 0, 80, 0, 0, 7, 87
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateProfile\profile\profileScreen.js", "JavaScript", 0, 0, 0, 0, 151, 0, 0, 10, 161
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateProfile\rideHistory\rideHistoryScreen.js", "JavaScript", 0, 0, 0, 0, 254, 0, 0, 10, 264
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateProfile\termsAndConditions\termsAndConditionsScreen.js", "JavaScript", 0, 0, 0, 0, 47, 0, 0, 6, 53
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateProfile\userVehicles\userVehiclesScreen.js", "JavaScript", 0, 0, 0, 0, 150, 0, 0, 10, 160
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateWallet\addAndSendMoney\addAndSendMoneyScreen.js", "JavaScript", 0, 0, 0, 0, 115, 0, 0, 7, 122
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateWallet\bankInfo\bankInfoScreen.js", "JavaScript", 0, 0, 0, 0, 167, 0, 0, 10, 177
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateWallet\creditCard\creditCardScreen.js", "JavaScript", 0, 0, 0, 0, 92, 0, 1, 8, 101
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateWallet\paymentMethods\paymentMethodsScreen.js", "JavaScript", 0, 0, 0, 0, 130, 0, 0, 8, 138
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateWallet\successfullyAddAndSend\successfullyAddAndSendScreen.js", "JavaScript", 0, 0, 0, 0, 95, 0, 0, 8, 103
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateWallet\transactions\transactionsScreen.js", "JavaScript", 0, 0, 0, 0, 152, 0, 0, 5, 157
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\screens\TemplateWallet\wallet\walletScreen.js", "JavaScript", 0, 0, 0, 0, 201, 0, 0, 10, 211
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\services\firebase.tsx", "TypeScript JSX", 0, 0, 33, 0, 0, 0, 0, 6, 39
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\src\utils\validation.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\tsconfig.json", "JSON with Comments", 4, 0, 0, 0, 0, 0, 0, 1, 5
"Total", "-", 4, 15522, 2619, 51, 10207, 123, 46, 894, 29466
