"filename", "language", "JavaScript", "JSON with Comments", "TypeScript JSX", "TypeScript", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Main\HomeScreen.test.js", "JavaScript", 158, 0, 0, 0, 0, 0, 0, 17, 175
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Main\RidesScreen.test.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 7, 43
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Main\Settings.test.js", "JavaScript", 198, 0, 0, 0, 0, 0, 0, 19, 217
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Main\WalletScreen.test.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 22, 65
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Profile\EditProfileScreen.test.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 28, 144
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Profile\ProfileScreen.test.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 18, 119
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Profile\RideHistoryScreen.test.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 18, 93
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Unit\Profile\UserVehiclesScreen.test.js", "JavaScript", 148, 0, 0, 0, 0, 0, 0, 19, 167
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\app.json", "JSON", 0, 0, 0, 0, 36, 0, 0, 1, 37
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\babel.config.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\eas.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\env.d.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\jest.config.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\package-lock.json", "JSON", 0, 0, 0, 0, 21012, 0, 0, 1, 21013
